Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Payton Pritchard,BOS,13.4,2.1,5.1,1.2,3.2,0.3,0.3,0.5,1.3,1.8,1.3,0.3,0.0,0.8,5.6,48,9.9
Peyton Watson,DEN,8.1,1.3,2.6,0.3,0.6,0.5,0.9,0.3,1.3,1.6,0.5,0.1,0.5,0.3,3.3,23,7.6000000000000005
Precious Achiuwa,TOR,20.7,3.6,7.3,0.5,2.0,1.6,2.3,1.8,4.1,6.0,0.9,0.6,0.5,1.1,9.2,55,18.9
Quentin Grimes,NYK,29.9,4.0,8.5,2.2,5.7,1.1,1.4,0.7,2.5,3.2,2.1,0.7,0.4,1.0,11.3,71,22.5
Quenton Jackson,WAS,15.0,2.1,4.7,0.1,1.3,1.9,2.4,0.2,0.7,0.9,1.7,0.4,0.1,0.4,6.2,9,10.8
R.J. Hampton,TOT,16.133333333333333,2.1999999999999997,5.1000000000000005,0.9,2.5,1.2,1.6333333333333335,0.3666666666666667,1.5333333333333332,1.8999999999999997,1.1333333333333335,0.5666666666666667,0.20000000000000004,0.9,6.466666666666666,94,11.666666666666664
RJ Barrett,NYK,33.9,7.0,16.1,1.7,5.3,4.0,5.4,0.8,4.2,5.0,2.8,0.4,0.2,2.2,19.6,73,26.4
RaiQuan Gray,BRK,35.0,6.0,12.0,2.0,5.0,2.0,2.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,16.0,1,37.0
Raul Neto,CLE,10.5,1.2,2.3,0.3,0.9,0.6,0.7,0.2,0.8,1.0,1.6,0.4,0.1,0.5,3.3,48,8.8
Reggie Bullock,DAL,30.3,2.5,6.0,1.9,5.1,0.3,0.5,0.4,3.2,3.6,1.4,0.7,0.2,0.5,7.2,78,16.9
Reggie Jackson,TOT,23.333333333333332,3.6999999999999997,9.066666666666668,1.3666666666666665,4.233333333333333,0.9333333333333332,1.0666666666666667,0.3333333333333333,1.7333333333333334,2.0333333333333337,3.3333333333333335,0.6666666666666666,0.10000000000000002,1.5666666666666667,9.666666666666666,136,17.866666666666667
Richaun Holmes,SAC,8.3,1.3,2.1,0.1,0.2,0.4,0.5,0.7,1.2,1.9,0.2,0.1,0.3,0.3,3.1,42,6.8999999999999995
